,ticker,name,Q4/2016,Q1/2017,Q2/2017,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022,Q3/2022,Q4/2022,Q1/2023
165,HPX,estimate_price_high,0,0,0,0,0,0,0,32580,32590,36374,219869,34053,39279,35240,42312,35989,29063,36557,23382,40901,45325,40422,32531,29983,24502,43991
166,NAB,estimate_price_low,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12217,13037,12925,17093,19268,23385,18288,19739,21650,15184,17220
167,NAB,estimate_price_high,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18325,19555,19388,25639,28902,35077,27432,29608,32474,22776,25830
168,NKG,estimate_price_low,62259,49710,40227,40217,30397,40904,42229,31903,19070,9677,4155,4567,5887,5486,5420,6008,2254,10210,20879,52115,117233,64944,51188,41337,18366,8656
169,NKG,estimate_price_high,93388,74566,60340,60325,45596,61355,63343,47856,28605,14516,6232,6850,8830,8229,8129,9012,3381,15316,31317,78173,175849,97416,76781,62006,27549,12983
170,HNG,estimate_price_low,2673,5707,5919,6968,7445,3972,4964,5664,3018,4356,10861,10863,12351,11467,10743,10353,9370,9561,9663,4159,6833,6142,5459,2871,2637,3859
171,HNG,estimate_price_high,4010,8561,8878,10452,11168,5958,7446,8497,4528,6534,16292,16295,18527,17201,16114,15530,14055,14341,14494,6240,10249,9213,8189,4306,3956,5789
172,MBS,estimate_price_low,3012,4258,4309,4411,6011,7708,12436,77275,26324,24344,16087,12543,13378,12746,18899,10704,10935,10883,13406,25243,27929,35822,34816,35753,23445,20930
173,MBS,estimate_price_high,4518,6387,6463,6616,9016,11562,18654,115912,39487,36516,24131,18814,20067,19118,28349,16056,16403,16324,20108,37864,41892,53733,52225,53629,35168,31395
174,HUT,estimate_price_low,11844,18510,10615,12168,10130,8414,7992,5059,5514,4646,2238,2149,1308,1328,11146,2711,1416,962,1933,3056,4164,7753,12231,12894,9734,16413
175,HUT,estimate_price_high,17765,27765,15923,18252,15194,12622,11988,7589,8270,6969,3357,3223,1961,1993,16719,4067,2124,1443,2900,4585,6246,11629,18347,19341,14601,24620
176,QTP,estimate_price_low,0,12720,3593,3582,3638,12305,48011,12788,9485,3230,3169,6062,10196,31506,12430,7366,6496,7793,32121,14719,15564,14274,6360,16306,12511,9628
