date,symbol,open,high,low,close,volume
2017-02-02,HOSE:VDS,8200.0,8200.0,8200.0,8200.0,0.0
2017-02-03,HOSE:VDS,8200.0,8200.0,8200.0,8200.0,5000.0
2017-02-06,HOSE:VDS,8000.0,8100.0,7500.0,8000.0,14900.0
2017-02-07,HOSE:VDS,8000.0,8000.0,8000.0,8000.0,0.0
2017-02-08,HOSE:VDS,7900.0,7900.0,7900.0,7900.0,700.0
2017-02-09,HOSE:VDS,7600.0,8000.0,7600.0,8000.0,10100.0
2017-02-10,HOSE:VDS,8000.0,8000.0,8000.0,8000.0,0.0
2017-02-13,HOSE:VDS,7300.0,7300.0,7300.0,7300.0,110.0
2017-02-14,HOSE:VDS,8000.0,8000.0,7900.0,7900.0,2000.0
2017-02-15,HOSE:VDS,7900.0,7900.0,7900.0,7900.0,0.0
2017-02-16,HOSE:VDS,7800.0,7900.0,7700.0,7900.0,10206.0
2017-02-17,HOSE:VDS,7400.0,7800.0,7400.0,7700.0,9300.0
2017-02-20,HOSE:VDS,7700.0,7700.0,7700.0,7700.0,0.0
2017-02-21,HOSE:VDS,7700.0,7700.0,7700.0,7700.0,2010.0
2017-02-22,HOSE:VDS,7700.0,7700.0,7700.0,7700.0,0.0
2017-02-23,HOSE:VDS,7700.0,7700.0,7700.0,7700.0,2010.0
2017-02-24,HOSE:VDS,7700.0,7700.0,7700.0,7700.0,0.0
2017-02-27,HOSE:VDS,7800.0,7800.0,7800.0,7800.0,2000.0
2017-02-28,HOSE:VDS,7700.0,7800.0,7700.0,7800.0,3912.0
2017-03-01,HOSE:VDS,7800.0,7800.0,7800.0,7800.0,12.0
2017-03-02,HOSE:VDS,7800.0,7800.0,7800.0,7800.0,0.0
2017-03-03,HOSE:VDS,7800.0,7800.0,7800.0,7800.0,0.0
2017-03-06,HOSE:VDS,7200.0,7200.0,7200.0,7200.0,117.0
2017-03-07,HOSE:VDS,7200.0,7800.0,7200.0,7800.0,2200.0
2017-03-08,HOSE:VDS,7500.0,7700.0,7500.0,7700.0,16010.0
2017-03-09,HOSE:VDS,7700.0,7700.0,7700.0,7700.0,0.0
2017-03-10,HOSE:VDS,7600.0,7600.0,7600.0,7600.0,2700.0
2017-03-13,HOSE:VDS,7500.0,7600.0,7500.0,7600.0,9000.0
2017-03-14,HOSE:VDS,8000.0,8000.0,8000.0,8000.0,2900.0
2017-03-15,HOSE:VDS,7500.0,7500.0,7500.0,7500.0,195900.0
2017-03-16,HOSE:VDS,7400.0,7500.0,7400.0,7500.0,400.0
2017-03-17,HOSE:VDS,7600.0,7800.0,7600.0,7800.0,6100.0
2017-03-20,HOSE:VDS,7900.0,8100.0,7900.0,8100.0,5200.0
2017-03-21,HOSE:VDS,8000.0,8000.0,7600.0,7900.0,6100.0
2017-03-22,HOSE:VDS,7800.0,7800.0,7800.0,7800.0,7000.0
2017-03-23,HOSE:VDS,7800.0,8200.0,7800.0,7900.0,18010.0
2017-03-24,HOSE:VDS,8000.0,8000.0,7900.0,7900.0,14200.0
2017-03-27,HOSE:VDS,8000.0,8600.0,8000.0,8600.0,93802.0
2017-03-28,HOSE:VDS,9000.0,9000.0,8200.0,8600.0,13700.0
2017-03-29,HOSE:VDS,8700.0,8700.0,8600.0,8700.0,6200.0
2017-03-30,HOSE:VDS,8700.0,8800.0,8700.0,8800.0,57600.0
2017-03-31,HOSE:VDS,8600.0,8600.0,8600.0,8600.0,9000.0
2017-04-03,HOSE:VDS,8300.0,8600.0,8300.0,8600.0,36400.0
2017-04-04,HOSE:VDS,8600.0,8600.0,8600.0,8600.0,43124.0
2017-04-05,HOSE:VDS,8700.0,8900.0,8600.0,8600.0,12900.0
2017-04-07,HOSE:VDS,8600.0,8600.0,8500.0,8500.0,20700.0
2017-04-10,HOSE:VDS,8500.0,8500.0,8500.0,8500.0,36.0
2017-04-11,HOSE:VDS,8600.0,8600.0,8600.0,8600.0,100.0
2017-04-12,HOSE:VDS,8600.0,8600.0,8600.0,8600.0,26000.0
2017-04-13,HOSE:VDS,8700.0,8700.0,8500.0,8700.0,11100.0
2017-04-14,HOSE:VDS,8600.0,8700.0,8600.0,8700.0,7900.0
2017-04-17,HOSE:VDS,8700.0,9500.0,8700.0,9500.0,593000.0
2017-04-18,HOSE:VDS,10000.0,10100.0,9500.0,10100.0,224700.0
2017-04-19,HOSE:VDS,10100.0,10300.0,10000.0,10200.0,79800.0
2017-04-20,HOSE:VDS,10300.0,10400.0,10000.0,10100.0,113800.0
2017-04-21,HOSE:VDS,10100.0,10200.0,10000.0,10000.0,129700.0
2017-04-24,HOSE:VDS,10100.0,10100.0,10000.0,10000.0,112650.0
2017-04-25,HOSE:VDS,10000.0,10100.0,10000.0,10100.0,68200.0
2017-04-26,HOSE:VDS,9600.0,9800.0,9600.0,9700.0,67000.0
2017-04-27,HOSE:VDS,9700.0,9700.0,9600.0,9700.0,53620.0
2017-04-28,HOSE:VDS,9600.0,9600.0,9500.0,9600.0,52100.0
2017-05-03,HOSE:VDS,9600.0,9600.0,9500.0,9600.0,54200.0
2017-05-04,HOSE:VDS,9600.0,9600.0,9500.0,9600.0,65500.0
2017-05-05,HOSE:VDS,9500.0,9500.0,9400.0,9500.0,59340.0
2017-05-08,HOSE:VDS,9400.0,9400.0,9400.0,9400.0,54200.0
2017-05-09,HOSE:VDS,9300.0,9500.0,9300.0,9400.0,95730.0
2017-05-10,HOSE:VDS,9400.0,10000.0,9400.0,9700.0,115420.0
2017-05-11,HOSE:VDS,9700.0,9700.0,9700.0,9700.0,40500.0
2017-05-12,HOSE:VDS,9800.0,9900.0,9700.0,9900.0,41230.0
2017-05-15,HOSE:VDS,9800.0,10000.0,9800.0,9900.0,35200.0
2017-05-16,HOSE:VDS,10000.0,10000.0,10000.0,10000.0,46860.0
2017-05-17,HOSE:VDS,10000.0,10000.0,9900.0,10000.0,7100.0
2017-05-18,HOSE:VDS,10000.0,10100.0,9900.0,9900.0,103050.0
2017-05-19,HOSE:VDS,10000.0,10100.0,9900.0,9900.0,97200.0
2017-05-22,HOSE:VDS,10000.0,10000.0,9900.0,10000.0,39512.0
2017-05-23,HOSE:VDS,10000.0,10000.0,9900.0,9900.0,52420.0
2017-05-24,HOSE:VDS,9900.0,10000.0,9800.0,10000.0,40400.0
2017-05-25,HOSE:VDS,9900.0,10000.0,9900.0,9900.0,30812.0
2017-05-26,HOSE:VDS,9900.0,9900.0,9900.0,9900.0,31800.0
2017-05-29,HOSE:VDS,10000.0,10000.0,9900.0,9900.0,19400.0
2017-05-30,HOSE:VDS,9000.0,9900.0,9000.0,9900.0,28828.0
2017-05-31,HOSE:VDS,9900.0,9900.0,9900.0,9900.0,5200.0
2017-06-01,HOSE:VDS,9900.0,9900.0,9700.0,9700.0,13400.0
2017-06-02,HOSE:VDS,9800.0,9800.0,9800.0,9800.0,100.0
2017-06-05,HOSE:VDS,9900.0,10000.0,9900.0,10000.0,3000.0
2017-06-06,HOSE:VDS,10100.0,10100.0,10100.0,10100.0,100.0
2017-06-07,HOSE:VDS,9900.0,9900.0,9900.0,9900.0,462.0
2017-06-08,HOSE:VDS,10000.0,10000.0,10000.0,10000.0,10000.0
2017-06-09,HOSE:VDS,9900.0,10000.0,9900.0,10000.0,33000.0
2017-06-12,HOSE:VDS,10000.0,10000.0,10000.0,10000.0,1560.0
