date,symbol,open,high,low,close,volume
2017-02-02,HNX:IDJ,2000.0,2000.0,1900.0,1900.0,1000.0
2017-02-03,HNX:IDJ,1900.0,1900.0,1800.0,1900.0,3000.0
2017-02-06,HNX:IDJ,2000.0,2000.0,1900.0,1900.0,1300.0
2017-02-07,HNX:IDJ,1900.0,2000.0,1900.0,2000.0,3100.0
2017-02-08,HNX:IDJ,2000.0,2100.0,2000.0,2100.0,1200.0
2017-02-09,HNX:IDJ,2100.0,2200.0,1900.0,1900.0,6200.0
2017-02-10,HNX:IDJ,2000.0,2000.0,2000.0,2000.0,11800.0
2017-02-13,HNX:IDJ,2100.0,2200.0,2000.0,2000.0,43700.0
2017-02-14,HNX:IDJ,2100.0,2100.0,2000.0,2000.0,17800.0
2017-02-15,HNX:IDJ,2000.0,2000.0,2000.0,2000.0,23000.0
2017-02-16,HNX:IDJ,2000.0,2100.0,1900.0,1900.0,23200.0
2017-02-17,HNX:IDJ,2000.0,2000.0,2000.0,2000.0,54300.0
2017-02-20,HNX:IDJ,2000.0,2100.0,2000.0,2000.0,28200.0
2017-02-21,HNX:IDJ,2000.0,2000.0,2000.0,2000.0,19000.0
2017-02-22,HNX:IDJ,2000.0,2000.0,2000.0,2000.0,56000.0
2017-02-23,HNX:IDJ,2000.0,2000.0,2000.0,2000.0,9000.0
2017-02-24,HNX:IDJ,2000.0,2000.0,1900.0,2000.0,23100.0
2017-02-27,HNX:IDJ,2000.0,2100.0,2000.0,2100.0,76100.0
2017-02-28,HNX:IDJ,2000.0,2100.0,2000.0,2100.0,8100.0
2017-03-01,HNX:IDJ,2100.0,2200.0,2100.0,2100.0,35400.0
2017-03-02,HNX:IDJ,2100.0,2200.0,2000.0,2200.0,22900.0
2017-03-03,HNX:IDJ,2000.0,2200.0,2000.0,2200.0,80800.0
2017-03-06,HNX:IDJ,2100.0,2100.0,2100.0,2100.0,400.0
2017-03-07,HNX:IDJ,2000.0,2000.0,2000.0,2000.0,3700.0
2017-03-08,HNX:IDJ,2100.0,2100.0,2100.0,2100.0,6600.0
2017-03-09,HNX:IDJ,2100.0,2200.0,2000.0,2200.0,19700.0
2017-03-10,HNX:IDJ,2200.0,2200.0,2000.0,2000.0,7800.0
2017-03-13,HNX:IDJ,2100.0,2100.0,2100.0,2100.0,100.0
2017-03-14,HNX:IDJ,2000.0,2000.0,1900.0,2000.0,5300.0
2017-03-15,HNX:IDJ,2000.0,2000.0,2000.0,2000.0,3200.0
2017-03-16,HNX:IDJ,2000.0,2000.0,2000.0,2000.0,4000.0
2017-03-17,HNX:IDJ,2000.0,2100.0,2000.0,2100.0,9300.0
2017-03-20,HNX:IDJ,2000.0,2100.0,1900.0,2000.0,26900.0
2017-03-21,HNX:IDJ,2000.0,2000.0,1900.0,2000.0,25300.0
2017-03-22,HNX:IDJ,2000.0,2000.0,2000.0,2000.0,10800.0
2017-03-23,HNX:IDJ,2000.0,2000.0,1900.0,2000.0,55800.0
2017-03-24,HNX:IDJ,1900.0,2000.0,1900.0,2000.0,10700.0
2017-03-27,HNX:IDJ,2000.0,2000.0,1900.0,2000.0,4400.0
